tower_id,state,n_corrective_36mo,months_in_service,lambda_true,needed_corrective_maintenance
MY_W1315123577,Kedah,15,36.0,17.274157,1
MY_N9455370923,Kedah,0,36.0,0.240473,0
MY_N13326193730,Kedah,22,36.0,25.715705,1
MY_W1321815854,Kedah,0,36.0,0.352787,0
MY_N10722696333,Kedah,2,36.0,1.031544,1
MY_W1316153148,Kedah,0,36.0,0.000115,0
MY_W1316153129,Kedah,0,36.0,3e-06,0
MY_W1316153146,Kedah,0,36.0,0.002512,0
MY_W1317650252,Perlis,23,36.0,24.394384,1
MY_N4541585270,Kedah,0,36.0,0.129747,0
MY_N10736133691,Penang,6,36.0,6.476475,1
MY_N11691138451,Perlis,0,36.0,2e-06,0
MY_N11302586992,Penang,0,36.0,4e-06,0
MY_N13961444689,Penang,0,36.0,2e-06,0
MY_N6828231262,Penang,0,36.0,0.0,0
MY_N11302586991,Penang,0,36.0,0.000381,0
MY_N13961263910,Penang,0,36.0,5e-06,0
MY_N13979312124,Kedah,38,36.0,28.739878,1
MY_N13967382742,Penang,0,36.0,4.5e-05,0
MY_N13967382741,Penang,0,36.0,0.0,0
MY_N7016316628,Penang,0,36.0,0.000447,0
MY_N7041239295,Penang,0,36.0,0.022338,0
MY_N1656847453,Penang,0,36.0,0.001686,0
MY_N9134432003,Penang,0,36.0,0.001794,0
MY_N6192657329,Kedah,4,36.0,2.503898,1
MY_N9150548693,Penang,0,36.0,0.003101,0
MY_N9116081582,Penang,0,36.0,4.8e-05,0
MY_N3341958144,Kedah,0,36.0,0.160218,0
MY_N5242116831,Kedah,0,36.0,0.000658,0
MY_N6154919249,Kedah,0,36.0,0.099689,0
MY_N3341958135,Kedah,1,36.0,0.880864,1
MY_N10591046691,Kedah,0,36.0,2.7e-05,0
MY_N7568527411,Kedah,0,36.0,0.260853,0
MY_N4859059453,Kedah,0,36.0,0.003161,0
MY_N8811444133,Kedah,0,36.0,0.000277,0
MY_N7568524744,Kedah,0,36.0,0.031466,0
MY_N6157011103,Kedah,6,36.0,6.514209,1
MY_N6418052180,Penang,0,36.0,0.000406,0
MY_N9035698652,Kedah,0,36.0,0.06883,0
MY_N8356509387,unassigned,0,36.0,0.026106,0
MY_N6406328430,Penang,0,36.0,0.000192,0
MY_N4775194882,Kedah,3,36.0,1.077353,1
MY_N4775194881,Kedah,0,36.0,0.971541,0
MY_N7574291535,Kedah,0,36.0,0.0021,0
MY_N6039478983,Kedah,16,36.0,24.28289,1
MY_N13404129716,Penang,0,36.0,0.159044,0
MY_W1085859464,Penang,0,36.0,0.000261,0
MY_N3365342814,Kedah,0,36.0,0.081884,0
MY_N9037393722,Penang,0,36.0,0.014564,0
MY_N2526527663,Kedah,0,36.0,0.015152,0
MY_N2526527678,Kedah,0,36.0,0.000201,0
MY_W1311505864,Penang,0,36.0,0.001086,0
MY_N4955138177,Penang,0,36.0,0.031247,0
MY_N5395408067,Kedah,0,36.0,0.0,0
MY_W390112561,Kedah,0,36.0,0.032404,0
MY_N2888308600,Kedah,0,36.0,0.048085,0
MY_N4195769900,Kedah,0,36.0,0.003104,0
MY_N4625586068,Penang,1,36.0,0.327806,1
MY_N4625586066,Penang,0,36.0,0.119208,0
MY_W1311793313,Kedah,0,36.0,0.000697,0
MY_N4625627407,Penang,0,36.0,0.082982,0
MY_W1311793315,Kedah,0,36.0,0.030325,0
MY_W1311793314,Kedah,9,36.0,11.711092,1
MY_N4567112599,Kedah,0,36.0,0.001742,0
MY_N4625637084,Kedah,0,36.0,0.000683,0
MY_W1311840962,Kedah,0,36.0,0.018292,0
MY_W1311840972,Kedah,0,36.0,0.000231,0
MY_N3604853933,Kedah,0,36.0,0.000108,0
MY_N4955138206,Penang,0,36.0,0.016305,0
MY_N4760131971,Kedah,0,36.0,0.011736,0
MY_N4573203388,Penang,0,36.0,0.00033,0
MY_N5952916379,Penang,0,36.0,0.002447,0
MY_N4612165249,Kedah,0,36.0,4.6e-05,0
MY_N8825706826,Penang,13,36.0,10.272739,1
MY_W879207161,Perak,5,36.0,6.649493,1
MY_N5646827136,Kedah,0,36.0,3e-06,0
MY_N4560309077,Penang,0,36.0,0.102277,0
MY_N4758418627,Kedah,1,36.0,1.132507,1
MY_N5931380383,Penang,0,36.0,5e-06,0
MY_N4560309078,Penang,0,36.0,2e-06,0
MY_N5931380384,Penang,0,36.0,0.00429,0
MY_N14135289964,Kedah,0,36.0,0.000107,0
MY_N12434275222,Kedah,0,36.0,0.01773,0
MY_N12434275187,Kedah,0,36.0,0.034894,0
MY_N4952889109,Kedah,0,36.0,0.000157,0
MY_N7049747274,Kedah,0,36.0,0.009812,0
MY_N4218038791,Kedah,0,36.0,0.0,0
MY_N7003374699,Kedah,0,36.0,1.6e-05,0
MY_N12397225227,Kedah,0,36.0,0.074339,0
MY_N12397225226,Kedah,0,36.0,1.7e-05,0
MY_N12397225225,Kedah,0,36.0,0.022057,0
MY_N12397225228,Kedah,0,36.0,0.0,0
MY_N12397225224,Kedah,0,36.0,0.164583,0
MY_N12397225229,Kedah,0,36.0,0.0,0
MY_N12432739231,Kedah,0,36.0,1.2e-05,0
MY_N12397225230,Kedah,0,36.0,0.044121,0
MY_N12397225231,Kedah,0,36.0,1.6e-05,0
MY_N12397225232,Kedah,0,36.0,5.7e-05,0
MY_N12432739232,Kedah,0,36.0,0.00049,0
MY_N12397225233,Kedah,0,36.0,1e-06,0
MY_N12432739233,Kedah,0,36.0,7.3e-05,0
MY_N506433555,Perak,35,36.0,25.141297,1
MY_N12432739234,Kedah,0,36.0,5e-06,0
MY_N12717488852,Perak,0,36.0,0.000768,0
MY_N6795232571,Kedah,0,36.0,3e-06,0
MY_W1312400607,Kedah,0,36.0,0.004232,0
MY_W1312400606,Kedah,0,36.0,0.01075,0
MY_W1312400608,Kedah,0,36.0,0.000789,0
MY_W1312840745,Kedah,0,36.0,2.7e-05,0
MY_W1312840761,Kedah,0,36.0,0.000143,0
MY_N5392512623,Perak,0,36.0,0.003428,0
MY_N11399381206,Perak,0,36.0,0.000958,0
MY_W1274670480,Perak,3,36.0,2.250983,1
MY_N12441857996,Kedah,0,36.0,4.8e-05,0
MY_N3720185425,Kedah,0,36.0,0.007996,0
MY_N3234716501,Perak,0,36.0,0.029214,0
MY_N7567968606,Kedah,0,36.0,0.0004,0
MY_W1165977860,Perak,0,36.0,0.001584,0
MY_N8090717866,Perak,0,36.0,0.000769,0
MY_N8091057340,Perak,0,36.0,0.00014,0
MY_N8091061663,Perak,1,36.0,0.20443,1
MY_N7594127522,Kedah,0,36.0,0.312897,0
MY_W1254490022,Perak,0,36.0,0.006709,0
MY_W1254490023,Perak,0,36.0,1.4e-05,0
MY_W1254490021,Perak,0,36.0,0.061039,0
MY_N12497506008,Kedah,0,36.0,0.596053,0
MY_N12968711538,Perak,2,36.0,2.284458,1
MY_N12458638891,Kedah,0,36.0,0.027146,0
MY_N4928415626,Kedah,0,36.0,1e-06,0
MY_N11766381937,Perak,0,36.0,0.005699,0
MY_N1727292934,Perak,0,36.0,3.9e-05,0
MY_N3782301332,Perak,0,36.0,0.20096,0
MY_N6130994429,Kedah,0,36.0,9e-05,0
MY_W1122921707,Perak,0,36.0,0.000147,0
MY_W1255218612,Perak,0,36.0,0.000972,0
MY_W1255218611,Perak,0,36.0,0.000314,0
MY_W1122921706,Perak,0,36.0,0.004312,0
MY_W1255218623,Perak,0,36.0,0.00129,0
MY_W1122921708,Perak,0,36.0,0.000671,0
MY_W1255218617,Perak,0,36.0,0.003804,0
MY_W1255218618,Perak,0,36.0,0.005256,0
MY_W1255218619,Perak,0,36.0,0.373005,0
MY_N8085760113,Perak,0,36.0,0.037944,0
MY_N8095997576,Perak,0,36.0,6e-05,0
MY_N8106032860,Perak,0,36.0,4.3e-05,0
MY_N7417373280,Perak,0,36.0,0.0,0
MY_N8263445806,Perak,0,36.0,0.030115,0
MY_N8263445804,Perak,0,36.0,0.676867,0
MY_N8263445805,Perak,0,36.0,0.019829,0
MY_N8263445803,Perak,0,36.0,0.023817,0
MY_N8099999650,Perak,0,36.0,1.4e-05,0
MY_N7923607620,Perak,0,36.0,1.8e-05,0
MY_N11221657074,Perak,0,36.0,6.5e-05,0
