ticket_id,tower_id,opened_date,closed_date,work_type,crew_type,root_cause,downtime_hours,cost_myr,is_corrective
WO_000001,MY_N13103284367,2023-08-01,2023-08-03,raise_cabinet_and_seal,civil,flood,6.9,1935,True
WO_000002,MY_N12135375711,2023-08-03,2023-08-07,vegetation_clearance,civil,vegetation,7.1,3337,True
WO_000003,MY_N12137013091,2023-08-03,2023-08-06,vegetation_clearance,civil,vegetation,1.9,468,True
WO_000004,MY_N8899964134,2023-08-03,2023-08-05,raise_cabinet_and_seal,civil,flood,11.2,799,True
WO_000005,MY_W1183622030,2023-08-03,2023-08-04,vegetation_clearance,civil,vegetation,8.0,1867,True
WO_000006,MY_N11875484226,2023-08-04,2023-08-08,vegetation_clearance,civil,vegetation,5.2,811,True
WO_000007,MY_W1267064693,2023-08-04,2023-08-09,slope_stabilize_and_tension,civil,terrain,4.5,2447,True
WO_000008,MY_N12383562688,2023-08-05,2023-08-06,slope_stabilize_and_tension,civil,terrain,1.4,2855,True
WO_000009,MY_N11151660426,2023-08-06,2023-08-09,vegetation_clearance,civil,vegetation,1.5,694,True
WO_000010,MY_N13678930905,2023-08-06,2023-08-11,slope_stabilize_and_tension,civil,terrain,1.4,1811,True
WO_000011,MY_N6039478983,2023-08-06,2023-08-07,slope_stabilize_and_tension,civil,terrain,10.3,5530,True
WO_000012,MY_N13103284367,2023-08-07,2023-08-12,radio_unit_refresh,rf,equipment,3.6,1910,True
WO_000013,MY_N12603668089,2023-08-08,2023-08-09,battery_genset_service,power,power,6.3,298,True
WO_000014,MY_N13013877873,2023-08-08,2023-08-12,battery_genset_service,power,power,6.6,8193,True
WO_000015,MY_N3902995326,2023-08-08,2023-08-11,vegetation_clearance,civil,vegetation,9.5,2936,True
WO_000016,MY_N10736133691,2023-08-10,2023-08-13,slope_stabilize_and_tension,civil,terrain,4.1,2216,True
WO_000017,MY_N11990327538,2023-08-10,2023-08-13,radio_unit_refresh,rf,equipment,6.2,4812,True
WO_000018,MY_N11151660426,2023-08-11,2023-08-16,radio_unit_refresh,rf,equipment,6.5,4142,True
WO_000019,MY_N11659562129,2023-08-13,2023-08-18,raise_cabinet_and_seal,civil,flood,10.1,1255,True
WO_000020,MY_N9466091146,2023-08-13,2023-08-14,slope_stabilize_and_tension,civil,terrain,6.4,665,True
WO_000021,MY_N11659562142,2023-08-14,2023-08-16,vegetation_clearance,civil,vegetation,4.2,1357,True
WO_000022,MY_N6745537233,2023-08-14,2023-08-15,vegetation_clearance,civil,vegetation,10.4,505,True
WO_000023,MY_N12773184677,2023-08-16,2023-08-19,vegetation_clearance,civil,vegetation,4.0,2954,True
WO_000024,MY_W1270085203,2023-08-16,2023-08-19,vegetation_clearance,civil,vegetation,9.0,2018,True
WO_000025,MY_N11482095447,2023-08-17,2023-08-21,raise_cabinet_and_seal,civil,flood,0.4,3381,True
WO_000026,MY_N11875484224,2023-08-17,2023-08-21,raise_cabinet_and_seal,civil,flood,3.4,3057,True
WO_000027,MY_N12137013091,2023-08-17,2023-08-18,battery_genset_service,power,power,8.1,6441,True
WO_000028,MY_N3902995309,2023-08-17,2023-08-21,radio_unit_refresh,rf,equipment,2.7,418,True
WO_000029,MY_N7033248825,2023-08-17,2023-08-18,vegetation_clearance,civil,vegetation,6.5,5922,True
WO_000030,MY_W1315123577,2023-08-17,2023-08-22,raise_cabinet_and_seal,civil,flood,5.4,6132,True
WO_000031,MY_W1315123577,2023-08-17,2023-08-14,raise_cabinet_and_seal,civil,flood,5.4,6132,True
WO_000032,MY_N1662564012,2023-08-18,2023-08-20,vegetation_clearance,civil,vegetation,2.6,2248,True
WO_000033,MY_N8044656639,2023-08-18,2023-08-23,battery_genset_service,power,power,10.5,2862,True
WO_000034,MY_N12131514594,2023-08-20,2023-08-22,radio_unit_refresh,rf,equipment,10.8,1042,True
WO_000035,MY_N12309364296,2023-08-20,2023-08-21,raise_cabinet_and_seal,civil,flood,7.0,406,True
WO_000036,MY_N13678930905,2023-08-20,2023-08-24,raise_cabinet_and_seal,civil,flood,5.2,3921,True
WO_000037,MY_W1270085203,2023-08-20,2023-08-25,vegetation_clearance,civil,vegetation,7.4,425,True
WO_000038,MY_N11875484224,2023-08-21,2023-08-26,radio_unit_refresh,rf,equipment,2.8,1539,True
WO_000039,MY_ORPHAN_0001,2023-08-21,2023-08-23,raise_cabinet_and_seal,civil,flood,6.3,1678,True
WO_000040,MY_W728820002,2023-08-21,2023-08-23,raise_cabinet_and_seal,civil,flood,6.3,1678,True
WO_000041,MY_N13331200717,2023-08-22,2023-08-25,raise_cabinet_and_seal,civil,flood,4.0,3328,True
WO_000042,MY_N10801806749,2023-08-23,2023-08-28,raise_cabinet_and_seal,civil,flood,8.9,4901,True
WO_000043,MY_N11802478955,2023-08-23,2023-08-24,raise_cabinet_and_seal,civil,flood,6.0,842,True
WO_000044,MY_N12138116212,2023-08-23,2023-08-25,vegetation_clearance,civil,vegetation,1.5,1958,True
WO_000045,MY_W1545410197,2023-08-23,2023-08-28,radio_unit_refresh,rf,equipment,12.4,1510,True
WO_000046,MY_N11875484224,2023-08-24,2023-08-29,raise_cabinet_and_seal,civil,flood,3.9,1714,True
WO_000047,MY_N1662637919,2023-08-24,2023-08-28,battery_genset_service,power,power,13.9,707,True
WO_000048,MY_N8987661324,2023-08-24,2023-08-26,vegetation_clearance,civil,vegetation,7.3,1055,True
WO_000049,MY_N12137024409,2023-08-25,2023-08-29,raise_cabinet_and_seal,civil,flood,7.2,3736,True
WO_000050,MY_N13678930905,2023-08-25,2023-08-28,raise_cabinet_and_seal,civil,flood,7.0,1800,True
WO_000051,MY_N6745537234,2023-08-25,2023-08-27,raise_cabinet_and_seal,civil,flood,2.0,706,True
WO_000052,MY_N11802478955,2023-08-26,2023-08-30,raise_cabinet_and_seal,civil,flood,2.0,1238,True
WO_000053,MY_N8044980541,2023-08-26,2023-08-27,raise_cabinet_and_seal,civil,flood,2.5,702,True
WO_000053,MY_N8044980541,2023-08-26,2023-08-27,raise_cabinet_and_seal,civil,flood,2.5,702,True
WO_000055,MY_N8422298542,2023-08-26,2023-08-27,raise_cabinet_and_seal,civil,flood,4.2,1465,True
WO_000056,MY_W1285114522,2023-08-26,2023-08-31,slope_stabilize_and_tension,civil,terrain,2.0,1759,True
WO_000057,MY_N12137024409,2023-08-27,2023-08-30,raise_cabinet_and_seal,civil,flood,2.3,1689,True
WO_000058,MY_N6745537233,2023-08-27,2023-08-30,slope_stabilize_and_tension,civil,terrain,0.9,4998,True
WO_000059,MY_N13103284367,2023-08-28,2023-08-29,raise_cabinet_and_seal,civil,flood,1.8,7559,True
WO_000060,MY_N13103284367,2023-08-28,2023-08-30,radio_unit_refresh,rf,equipment,9.2,163,True
WO_000061,MY_N11484371222,2023-09-01,2023-09-06,battery_genset_service,power,power,1.9,4262,True
WO_000062,MY_N12462397947,2023-09-01,2023-09-02,scheduled_inspection,civil,scheduled_inspection,1.3,522,False
WO_000063,MY_N11476096501,2023-09-02,2023-09-03,scheduled_inspection,civil,scheduled_inspection,1.1,350,False
WO_000064,MY_N12137013091,2023-09-02,2023-09-06,battery_genset_service,power,power,3.1,5355,True
WO_000065,MY_N13686353602,2023-09-02,2023-09-03,scheduled_inspection,civil,scheduled_inspection,1.0,183,False
WO_000066,MY_N11659562142,2023-09-03,2023-09-05,vegetation_clearance,civil,vegetation,2.8,4216,True
WO_000067,MY_N12137024409,2023-09-03,2023-09-05,radio_unit_refresh,rf,equipment,6.4,8281,True
WO_000068,MY_N8025609742,2023-09-03,2023-09-07,raise_cabinet_and_seal,civil,flood,6.0,3448,True
WO_000069,MY_N10802588425,2023-09-04,2023-09-06,raise_cabinet_and_seal,civil,flood,6.1,4556,True
WO_000070,MY_N12240441026,2023-09-04,2023-09-05,scheduled_inspection,civil,scheduled_inspection,0.8,1346,False
WO_000071,MY_N13678930905,2023-09-04,2023-09-08,raise_cabinet_and_seal,civil,flood,4.7,869,True
WO_000072,MY_N3902995326,2023-09-04,2023-09-09,battery_genset_service,power,power,4.6,3341,True
WO_000073,MY_W1317650252,2023-09-04,2023-09-05,battery_genset_service,power,power,7.5,660,True
WO_000074,MY_N11659562142,2023-09-05,2023-09-10,raise_cabinet_and_seal,civil,flood,4.9,2671,True
WO_000075,MY_N11875484226,2023-09-05,2023-09-10,vegetation_clearance,civil,vegetation,1.8,411,True
WO_000076,MY_N12137013087,2023-09-05,2023-09-06,raise_cabinet_and_seal,civil,flood,1.2,500,True
WO_000077,MY_N11727753196,2023-09-06,2023-09-07,scheduled_inspection,civil,scheduled_inspection,0.8,251,False
WO_000078,MY_N11802478955,2023-09-07,2023-09-12,raise_cabinet_and_seal,civil,flood,5.1,4235,True
WO_000079,MY_N11875484224,2023-09-07,2023-09-11,battery_genset_service,power,power,17.7,1350,True
WO_000080,MY_N7417373280,2023-09-07,2023-09-08,scheduled_inspection,civil,scheduled_inspection,0.9,947,False
WO_000081,MY_N8542747595,2023-09-07,2023-09-08,scheduled_inspection,civil,scheduled_inspection,0.7,109,False
WO_000082,MY_N1662564012,2023-09-08,2023-09-12,slope_stabilize_and_tension,civil,terrain,0.9,3659,True
WO_000083,MY_N1662637919,2023-09-08,2023-09-09,vegetation_clearance,civil,vegetation,7.6,3155,True
WO_000084,MY_N12058759613,2023-09-09,2023-09-10,scheduled_inspection,civil,scheduled_inspection,2.2,708,False
WO_000085,MY_N13142317645,2023-09-09,2023-09-10,raise_cabinet_and_seal,civil,flood,10.0,4746,True
WO_000086,MY_N8987661324,2023-09-09,2023-09-14,raise_cabinet_and_seal,civil,flood,4.6,1133,True
WO_000087,MY_N13142317645,2023-09-10,2023-09-14,slope_stabilize_and_tension,civil,terrain,7.1,2955,True
WO_000088,MY_N11609644622,2023-09-11,2023-09-12,raise_cabinet_and_seal,civil,flood,6.7,3703,True
WO_000089,MY_N12309364295,2023-09-11,2023-09-13,vegetation_clearance,civil,vegetation,2.7,1893,True
WO_000090,MY_N12603668089,2023-09-11,2023-09-14,battery_genset_service,power,power,3.7,1849,True
WO_000091,MY_N13165619831,2023-09-11,2023-09-12,scheduled_inspection,civil,scheduled_inspection,1.8,462,False
WO_000092,MY_N11875484224,2023-09-12,2023-09-13,scheduled_inspection,civil,scheduled_inspection,0.4,864,False
WO_000093,MY_N12462362563,2023-09-12,2023-09-13,scheduled_inspection,civil,scheduled_inspection,4.1,1375,False
WO_000094,MY_N13526011249,2023-09-12,2023-09-14,battery_genset_service,power,power,5.5,1759,True
WO_000095,MY_N9084071195,2023-09-12,2023-09-17,raise_cabinet_and_seal,civil,flood,14.9,3568,True
WO_000096,MY_W1368623543,2023-09-12,2023-09-13,scheduled_inspection,civil,scheduled_inspection,0.3,507,False
WO_000097,MY_N12135375711,2023-09-13,2023-09-15,raise_cabinet_and_seal,civil,flood,4.7,1725,True
WO_000098,MY_N12309364295,2023-09-13,2023-09-14,vegetation_clearance,civil,vegetation,4.0,5496,True
WO_000099,MY_N6039478983,2023-09-13,2023-09-16,raise_cabinet_and_seal,civil,flood,14.8,1654,True
WO_000100,MY_W728820002,2023-09-13,2023-09-18,slope_stabilize_and_tension,civil,terrain,3.2,5490,True
WO_000101,MY_N12941843009,2023-09-14,2023-09-15,scheduled_inspection,civil,scheduled_inspection,0.5,282,False
WO_000102,MY_N12117702098,2023-09-15,2023-09-16,vegetation_clearance,civil,vegetation,2.2,6885,True
WO_000103,MY_N12260551262,2023-09-15,2023-09-16,scheduled_inspection,civil,scheduled_inspection,1.6,850,False
WO_000104,MY_N5952916379,2023-09-15,2023-09-16,scheduled_inspection,civil,scheduled_inspection,2.0,311,False
WO_000105,MY_N11875484226,2023-09-16,2023-09-19,vegetation_clearance,civil,vegetation,4.7,522,True
WO_000106,MY_N506433555,2023-09-16,2023-09-18,radio_unit_refresh,rf,equipment,3.4,1496,True
WO_000107,MY_N7838524135,2023-09-16,2023-09-17,scheduled_inspection,civil,scheduled_inspection,1.6,403,False
WO_000108,MY_N11528285260,2023-09-17,2023-09-18,scheduled_inspection,civil,scheduled_inspection,3.8,974,False
WO_000109,MY_N10736133691,2023-09-18,2023-09-21,slope_stabilize_and_tension,civil,terrain,12.8,3721,True
WO_000110,MY_N12135375711,2023-09-18,2023-09-23,raise_cabinet_and_seal,civil,flood,2.3,4257,True
WO_000111,MY_N8422298542,2023-09-19,2023-09-22,radio_unit_refresh,rf,equipment,6.1,1983,True
WO_000112,MY_N13659918586,2023-09-20,2023-09-23,raise_cabinet_and_seal,civil,flood,2.2,2143,True
WO_000113,MY_N7033248825,2023-09-20,2023-09-22,raise_cabinet_and_seal,civil,flood,5.3,4525,True
WO_000114,MY_N11484371222,2023-09-21,2023-09-25,vegetation_clearance,civil,vegetation,11.6,5286,True
WO_000115,MY_N13979312124,2023-09-21,2023-09-25,vegetation_clearance,civil,vegetation,6.3,1557,True
WO_000116,MY_W728820002,2023-09-21,2023-09-24,raise_cabinet_and_seal,civil,flood,7.3,1217,True
WO_000117,MY_N9003249367,2023-09-23,2023-09-28,raise_cabinet_and_seal,civil,flood,3.3,992,True
WO_000118,MY_N10736133691,2023-09-24,2023-09-26,slope_stabilize_and_tension,civil,terrain,2.6,958,True
WO_000119,MY_N12145341915,2023-09-24,2023-09-25,scheduled_inspection,civil,scheduled_inspection,3.0,467,False
WO_000120,MY_N12145362317,2023-09-24,2023-09-25,scheduled_inspection,civil,scheduled_inspection,0.1,2461,False
WO_000121,MY_N3902995302,2023-09-24,2023-09-28,radio_unit_refresh,rf,equipment,14.4,186,True
WO_000122,MY_N506433555,2023-09-24,2023-09-28,raise_cabinet_and_seal,civil,flood,0.8,3338,True
WO_000123,MY_N10802588447,2023-09-25,2023-09-26,vegetation_clearance,civil,vegetation,5.1,794,True
WO_000124,MY_N13013877873,2023-09-25,2023-09-28,battery_genset_service,power,power,2.2,4141,True
WO_000125,MY_N13889776578,2023-09-25,2023-09-26,scheduled_inspection,civil,scheduled_inspection,3.1,640,False
WO_000126,MY_N6745537233,2023-09-25,2023-09-30,vegetation_clearance,civil,vegetation,3.8,275,True
WO_000127,MY_N8191059241,2023-09-25,2023-09-30,raise_cabinet_and_seal,civil,flood,5.1,1133,True
WO_000128,MY_W1270085203,2023-09-25,2023-09-30,vegetation_clearance,civil,vegetation,9.9,3876,True
WO_000129,MY_N11609644622,2023-09-26,2023-09-30,vegetation_clearance,civil,vegetation,5.6,393,True
WO_000130,MY_N11659562131,2023-09-26,2023-09-27,scheduled_inspection,civil,scheduled_inspection,0.6,738,False
WO_000131,MY_N12531429458,2023-09-26,2023-09-30,vegetation_clearance,civil,vegetation,6.7,2042,True
WO_000132,MY_N9003249367,2023-09-26,2023-09-27,scheduled_inspection,civil,scheduled_inspection,0.2,486,False
WO_000133,MY_N7033248825,2023-09-27,2023-10-02,battery_genset_service,power,power,5.3,1967,True
WO_000134,MY_W1386907231,2023-09-27,2023-09-28,battery_genset_service,power,power,6.0,92,True
WO_000135,MY_W1255218619,2023-09-29,2023-09-30,scheduled_inspection,civil,scheduled_inspection,0.3,582,False
WO_000136,MY_N12334436706,2023-09-30,2023-10-01,scheduled_inspection,civil,scheduled_inspection,3.3,683,False
WO_000137,MY_N6745537234,2023-09-30,2023-10-01,scheduled_inspection,civil,scheduled_inspection,4.2,643,False
