tower_id,rectifier_alarms_30d,battery_sag_events_30d,door_open_hours_30d
MY_W1315123577,25.78,50.76,13.6
MY_N9455370923,8.48,12.22,3.78
MY_N13326193730,60.68,7.1,5.15
MY_W1321815854,4.35,9.97,5.35
MY_N10722696333,15.36,7.6,9.31
MY_W1316153148,0.65,9.0,3.42
MY_W1316153129,0.18,1.5,3.79
MY_W1316153146,3.89,4.81,7.89
MY_W1317650252,18.81,41.37,42.7
MY_N4541585270,11.01,14.41,7.2
MY_N10736133691,41.04,22.86,8.82
MY_N11691138451,0.0,0.35,0.58
MY_N11302586992,1.86,0.0,1.09
MY_N13961444689,0.4,0.7,6.81
MY_N6828231262,0.34,0.0,1.42
MY_N11302586991,2.7,1.13,2.74
MY_N13961263910,0.55,0.92,1.23
MY_N13979312124,14.67,15.78,21.08
MY_N13967382742,1.7,0.48,1.1
MY_N13967382741,0.21,0.0,0.22
MY_N7016316628,0.57,4.28,1.13
MY_N7041239295,3.28,1.48,13.43
MY_N1656847453,1.08,0.1,4.19
MY_N9134432003,5.34,1.48,3.72
MY_N6192657329,12.11,11.7,8.87
MY_N9150548693,2.28,2.31,2.11
MY_N9116081582,3.98,1.01,0.14
MY_N3341958144,8.04,14.97,3.74
MY_N5242116831,2.92,13.2,3.82
MY_N6154919249,9.34,5.3,2.21
MY_N3341958135,14.62,20.17,5.45
MY_N10591046691,0.64,0.0,0.16
MY_N7568527411,2.13,4.15,2.41
MY_N4859059453,3.15,0.86,1.51
MY_N8811444133,2.55,0.85,4.64
MY_N7568524744,3.12,7.51,4.13
MY_N6157011103,53.05,16.56,11.42
MY_N6418052180,0.76,0.7,3.15
MY_N9035698652,13.4,8.75,2.18
MY_N8356509387,3.62,2.66,2.94
MY_N6406328430,0.98,0.09,2.73
MY_N4775194882,6.08,11.91,11.16
MY_N4775194881,10.9,6.2,5.76
MY_N7574291535,5.37,1.94,2.13
MY_N6039478983,21.5,33.51,11.34
MY_N13404129716,9.4,5.89,4.69
MY_W1085859464,4.87,0.22,2.77
MY_N3365342814,3.65,14.85,2.98
MY_N9037393722,13.65,1.62,5.12
MY_N2526527663,10.71,3.47,0.61
MY_N2526527678,0.93,1.11,1.87
MY_W1311505864,1.76,3.8,2.25
MY_N4955138177,2.05,2.65,3.12
MY_N5395408067,0.0,0.0,0.22
MY_W390112561,5.33,2.75,3.64
MY_N2888308600,1.93,8.1,2.7
MY_N4195769900,3.97,1.14,11.38
MY_N4625586068,9.66,3.87,4.2
