tower_id,anonymous_operator,source_node,lon,lat,radio,technologies_observed,measurement_count,session_count,first_observed,last_observed,median_signal_level,median_gps_accuracy_m
SUNWAY_OPERATOR_A_10171,Operator A,10171,101.6054603,3.07053251,LTE,4G,330,5,2024.12.03_15.52.02,2025.04.02_13.30.59,-88.0,6.0
SUNWAY_OPERATOR_A_10191,Operator A,10191,101.61063,3.0735471,NR,4G|5G,7,2,2024.12.12_11.55.32,2025.03.20_13.20.46,-82.0,6.0
SUNWAY_OPERATOR_A_10201,Operator A,10201,101.5940713,3.05857323,LTE,4G,3,1,2024.12.31_12.28.36,2024.12.31_12.28.37,-90.0,4.0
SUNWAY_OPERATOR_A_11161,Operator A,11161,101.603299,3.06854967,NR,4G|5G,72,6,2024.12.10_12.38.43,2025.03.06_11.53.41,-76.0,6.0
SUNWAY_OPERATOR_A_11771,Operator A,11771,101.6120933,3.0789034899999996,LTE,4G,3,1,2025.03.06_12.00.20,2025.03.06_12.00.22,-85.0,11.0
SUNWAY_OPERATOR_A_12232,Operator A,12232,101.6106239,3.07146833,LTE,4G,3,2,2025.01.16_13.10.15,2025.03.20_13.19.22,-74.0,8.0
SUNWAY_OPERATOR_A_12243,Operator A,12243,101.6052948,3.06550288,NR,4G|5G,14,4,2024.12.04_11.25.06,2025.03.06_12.06.58,-86.5,9.5
SUNWAY_OPERATOR_A_12252,Operator A,12252,101.6058361,3.0607803,NR,4G|5G,695,9,2024.12.03_15.46.55,2025.03.20_13.54.03,-101.0,6.0
SUNWAY_OPERATOR_A_15691,Operator A,15691,101.5985905,3.06250891,LTE,4G,6,1,2025.02.14_12.35.26,2025.02.14_12.37.52,-80.5,7.0
SUNWAY_OPERATOR_A_16151,Operator A,16151,101.5998692,3.06333711,LTE,4G,104,3,2024.12.10_12.39.38,2025.03.20_13.53.20,-105.0,8.0
SUNWAY_OPERATOR_A_16161,Operator A,16161,101.5939899,3.05895633,LTE,4G,29,3,2024.12.31_12.28.38,2025.02.14_12.35.29,-86.0,6.0
SUNWAY_OPERATOR_A_16372,Operator A,16372,101.6123598,3.0789034899999996,LTE,4G,11,3,2024.12.31_12.40.51,2025.03.06_12.00.35,-81.0,8.0
SUNWAY_OPERATOR_A_22133,Operator A,22133,101.592066,3.057131570000001,NR,4G|5G,248,4,2024.12.31_12.25.37,2025.03.06_11.48.20,-78.0,8.0
SUNWAY_OPERATOR_A_26740,Operator A,26740,101.6052639,3.06070663,LTE,4G,4,1,2025.03.20_13.44.58,2025.03.20_13.45.00,-99.0,6.0
SUNWAY_OPERATOR_A_28131,Operator A,28131,101.5920676,3.057131570000001,LTE,4G,2,1,2024.12.31_12.27.41,2024.12.31_12.27.41,-80.5,8.0
SUNWAY_OPERATOR_A_35372,Operator A,35372,101.5983979,3.06198269,NR,4G|5G,121,6,2024.12.31_12.28.41,2025.03.20_13.53.59,-84.0,8.0
SUNWAY_OPERATOR_A_36933,Operator A,36933,101.6124,3.0789034899999996,LTE,4G,27,3,2024.12.31_12.40.52,2025.03.06_12.00.34,-82.0,11.0
SUNWAY_OPERATOR_A_45721,Operator A,45721,101.6126098,3.0789034899999996,LTE,4G,7,1,2025.02.14_12.16.22,2025.02.14_12.16.35,-76.0,6.0
SUNWAY_OPERATOR_A_54681,Operator A,54681,101.6069073,3.06641272,LTE,4G,5,2,2024.12.03_15.50.30,2025.01.16_12.34.04,-100.0,11.0
SUNWAY_OPERATOR_A_55382,Operator A,55382,101.6040248,3.07295468,LTE,4G,1,1,2025.01.07_10.25.00,2025.01.07_10.25.00,-88.0,4.0
SUNWAY_OPERATOR_A_64502,Operator A,64502,101.6038916,3.0604026,NR,4G|5G,4,2,2024.12.10_12.38.45,2025.03.06_12.06.51,-97.0,8.0
SUNWAY_OPERATOR_A_701684,Operator A,701684,101.6107273,3.07073902,NR,4G|5G,1544,9,2024.12.03_15.58.13,2025.03.20_13.31.37,-87.0,8.0
SUNWAY_OPERATOR_A_701688,Operator A,701688,101.6025813,3.06998171,NR,4G|5G,225,7,2024.12.04_12.15.17,2025.02.20_12.18.47,-84.0,6.0
SUNWAY_OPERATOR_A_701753,Operator A,701753,101.6106956,3.06652472,NR,4G|5G,177,4,2024.12.31_12.14.18,2025.03.06_11.56.24,-93.0,6.0
SUNWAY_OPERATOR_A_701775,Operator A,701775,101.6027111,3.07277511,NR,4G|5G,88,3,2024.12.12_12.26.41,2025.02.20_12.14.21,-83.0,4.0
SUNWAY_OPERATOR_A_701796,Operator A,701796,101.6047775,3.07315645,NR,4G|5G,134,3,2024.12.12_12.28.54,2025.02.20_12.11.54,-91.5,8.0
SUNWAY_OPERATOR_A_701806,Operator A,701806,101.6101976,3.07598075,NR,4G|5G,710,11,2024.12.03_16.07.28,2025.03.20_13.21.43,-87.0,6.0
SUNWAY_OPERATOR_A_701866,Operator A,701866,101.5980033,3.06161728,NR,5G,3,1,2025.03.06_11.51.18,2025.03.06_11.51.20,-96.0,11.0
SUNWAY_OPERATOR_A_701872,Operator A,701872,101.61202,3.0789034899999996,NR,4G|5G,53,4,2024.12.31_12.06.32,2025.03.06_12.00.42,-95.0,8.0
