node,SessionID,n_measurements,median_level_dbm,median_snr,median_cqi,link_distance_m,median_speed_kmh,network_tech,operator,lon,lat,hand_m,slope_deg,tri,dist_water_m,dist_power_m,physical_site_group,session_ts
10171,1,3,-102.0,-2.0,9.0,510.23998733079566,0.0,4G,Operator A,101.6054603,3.07053251,0.0,14.096096098071754,19.57526035598886,96.31007195674611,522.7147029984762,10171,2024-12-03T15:52:02Z
10171,2,7,-80.0,11.0,9.0,121.48890485342177,1.0,4G,Operator A,101.6054603,3.07053251,0.0,14.096096098071754,19.57526035598886,96.31007195674611,522.7147029984762,10171,2024-12-03T16:15:39Z
10171,7,7,-82.0,2.0,12.0,320.723727724861,4.0,4G,Operator A,101.6054603,3.07053251,0.0,14.096096098071754,19.57526035598886,96.31007195674611,522.7147029984762,10171,2024-12-12T12:23:58Z
10171,12,1,-88.0,-6.0,11.0,312.9628684037165,5.0,4G,Operator A,101.6054603,3.07053251,0.0,14.096096098071754,19.57526035598886,96.31007195674611,522.7147029984762,10171,2025-01-07T10:24:59Z
10171,23,312,-89.0,9.0,11.0,241.82076455365078,3.0,4G,Operator A,101.6054603,3.07053251,0.0,14.096096098071754,19.57526035598886,96.31007195674611,522.7147029984762,10171,2025-04-02T12:54:29Z
11161,5,2,-118.5,-7.0,3.0,907.6943322402296,23.0,4G,Operator A,101.603299,3.06854967,5.309439182,8.714298812878507,12.025399565968236,325.47534411492677,588.4669858173661,11161,2024-12-10T12:38:43Z
11161,12,12,-74.0,16.5,13.0,34.40681546054845,4.0,4G,Operator A,101.603299,3.06854967,5.309439182,8.714298812878507,12.025399565968236,325.47534411492677,588.4669858173661,11161,2025-01-07T10:34:24Z
11161,15,1,-83.0,1.0,15.0,376.96523843901446,31.0,4G,Operator A,101.603299,3.06854967,5.309439182,8.714298812878507,12.025399565968236,325.47534411492677,588.4669858173661,11161,2025-01-16T13:40:07Z
11161,17,5,-81.0,4.0,11.0,364.26026843746183,37.0,4G,Operator A,101.603299,3.06854967,5.309439182,8.714298812878507,12.025399565968236,325.47534411492677,588.4669858173661,11161,2025-02-14T12:40:27Z
11161,18,50,-75.5,12.5,11.0,76.03162112768689,3.0,4G,Operator A,101.603299,3.06854967,5.309439182,8.714298812878507,12.025399565968236,325.47534411492677,588.4669858173661,11161,2025-02-20T12:18:50Z
