node,lon,lat,sessions,median_level_dbm,residual_db
702008,101.5972035,3.07297591,1,-110.0,-17.265767232676808
701949,101.5921127,3.057131570000001,4,-104.75,-14.763979857707799
701673,101.6121157,3.07427344,1,-100.0,-14.663428248707646
210083,101.6061114,3.06658046,4,-100.625,-14.473818050072072
701866,101.5980033,3.06161728,3,-104.66666666666667,-14.30577468565157
16151,101.5998692,3.06333711,3,-101.33333333333333,-13.515673482273078
701934,101.5940968,3.05714478,6,-99.33333333333333,-9.923323153723887
701997,101.5981089,3.06166221,9,-98.83333333333333,-8.163718828601795
702044,101.598582,3.06234283,7,-100.28571428571429,-7.369003793123205
702175,101.5939926,3.05783385,12,-98.5,-7.180337190286328
702010,101.5941521,3.057131570000001,7,-96.78571428571429,-5.991242007351687
701895,101.6123955,3.0789034899999996,7,-96.0,-5.625666228683092
701872,101.61202,3.0789034899999996,7,-94.92857142857143,-3.6622107146204286
701796,101.6047775,3.07315645,7,-91.92857142857143,-3.3874194868342857
810851,101.6056583,3.07006163,4,-90.75,-3.11080108861254
812198,101.6018769,3.0654846,9,-92.83333333333333,-3.0261915598208935
701888,101.6107861,3.0789034899999996,7,-94.14285714285714,-2.9683402740108136
212660,101.5987009,3.06389682,3,-89.83333333333333,-2.5225816209591536
816443,101.6036778,3.06045136,4,-93.0,-1.8339881605565793
10171,101.6054603,3.07053251,5,-88.2,-1.7979153292926924
701753,101.6106956,3.06652472,7,-92.35714285714286,-1.4770472173306561
12252,101.6058361,3.0607803,9,-90.27777777777777,-1.2713276352812402
212644,101.6077843,3.07343843,3,-88.33333333333333,-1.0032497290628442
702023,101.5966828,3.06167319,10,-92.15,-0.8570243535934011
16161,101.5939899,3.05895633,3,-86.33333333333333,0.04787225985604474
702000,101.5986784,3.06399857,6,-92.83333333333333,0.12485064458579605
35372,101.5983979,3.06198269,6,-88.08333333333333,0.22238013997843117
702063,101.6078638,3.06221024,9,-92.58333333333333,0.3230831884404874
810857,101.5998876,3.06335717,5,-87.1,0.8818979585116551
701806,101.6101976,3.07598075,18,-89.16666666666667,1.8077013338331613
11161,101.603299,3.06854967,6,-85.58333333333333,2.908822486868113
701905,101.6055148,3.07049259,22,-87.79545454545455,2.959426039864816
702072,101.6016286,3.06529604,17,-88.08823529411765,3.088708472503494
701688,101.6025813,3.06998171,15,-88.13333333333334,4.073313601867286
215945,101.6002329,3.06259778,2,-85.0,4.3483229353463955
811370,101.594066,3.0604101,2,-84.25,4.6040327002048755
210038,101.6031208,3.07280105,1,-84.0,4.613845900444119
701684,101.6107273,3.07073902,16,-85.4375,5.008935089003502
216175,101.6027379,3.06062655,3,-85.0,5.957433075284669
36933,101.6124,3.0789034899999996,3,-82.0,6.141403103905134
22133,101.592066,3.057131570000001,4,-79.25,7.467119243410366
701775,101.6027111,3.07277511,7,-83.71428571428571,8.190864462579261
702109,101.6083034,3.07346582,7,-84.42857142857143,8.326417465996931
701911,101.6087852,3.06551172,16,-84.40625,8.800333230539724
95192,101.6111588,3.0789034899999996,2,-77.0,10.229848533552683
212677,101.5921331,3.057131570000001,2,-77.0,11.112788873815028
816442,101.6119641,3.0789034899999996,1,-75.0,14.208575409637575
816192,101.5920181,3.057131570000001,3,-72.66666666666667,16.940940347834978
