tower_id,lon,lat,radio,dist_water_m,hand_m,slope_deg,tri,flash_density,dist_power_m,age_years,exposed_pop,anonymous_operator,source_node,technologies_observed,measurement_count,session_count,first_observed,last_observed,median_signal_level,median_gps_accuracy_m,elevation_m,exposure_definition,flash_density_status,age_status,tower_source,terrain_source,hand_source,water_power_source,population_source
SUNWAY_OPERATOR_A_10171,101.6054603,3.07053251,LTE,96.31007195674613,0.0,14.096096098071754,19.57526035598886,,522.7147029984762,,6092.61,Operator A,10171,4G,330,5,2024.12.03_15.52.02,2025.04.02_13.30.59,-88.0,6.0,7.7408895,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_10191,101.61063,3.0735471,NR,394.12240161207126,4e-05,3.836456600507839,7.045313520199147,,270.7640485244388,,7959.83,Operator A,10191,4G|5G,7,2,2024.12.12_11.55.32,2025.03.20_13.20.46,-82.0,6.0,22.25052,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_10201,101.5940713,3.05857323,LTE,224.40189826779084,4e-05,0.4507342516294292,1.8980413680511137,,630.7234656787045,,6377.35,Operator A,10201,4G,3,1,2024.12.31_12.28.36,2024.12.31_12.28.37,-90.0,4.0,16.912254,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_11161,101.603299,3.06854967,NR,325.47534411492677,5.309439182,8.714298812878507,12.025399565968236,,588.4669858173661,,6249.46,Operator A,11161,4G|5G,72,6,2024.12.10_12.38.43,2025.03.06_11.53.41,-76.0,6.0,23.927048,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_11771,101.6120933,3.0789034899999996,LTE,442.04741331898595,1.173349023,3.475534314288133,5.575848976995154,,112.68885149287017,,7369.85,Operator A,11771,4G,3,1,2025.03.06_12.00.20,2025.03.06_12.00.22,-85.0,11.0,20.904108,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_12232,101.6106239,3.07146833,LTE,304.57901095554826,2.157416344,2.7071403855925262,4.9466707974077915,,455.83451121092384,,7710.33,Operator A,12232,4G,3,2,2025.01.16_13.10.15,2025.03.20_13.19.22,-74.0,8.0,23.006622,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_12243,101.6052948,3.06550288,NR,186.16237747332758,3.870622396,2.178790732061674,3.3506218799411323,,978.9490183570899,,5796.13,Operator A,12243,4G|5G,14,4,2024.12.04_11.25.06,2025.03.06_12.06.58,-86.5,9.5,19.494896,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_12252,101.6058361,3.0607803,NR,123.51864475550741,2e-05,3.934309910510855,11.537757029231116,,822.5989162528098,,6091.41,Operator A,12252,4G|5G,695,9,2024.12.03_15.46.55,2025.03.20_13.54.03,-101.0,6.0,-9.680141,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_15691,101.5985905,3.06250891,LTE,36.27095025350827,2.860121012,3.694450440947417,8.095608287530888,,917.3547729572064,,6607.49,Operator A,15691,4G,6,1,2025.02.14_12.35.26,2025.02.14_12.37.52,-80.5,7.0,21.230186,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_16151,101.5998692,3.06333711,LTE,105.1665041405302,13.647776604,7.569793294073914,13.973842513124234,,910.7472993679836,,5970.23,Operator A,16151,4G,104,3,2024.12.10_12.39.38,2025.03.20_13.53.20,-105.0,8.0,32.156116,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
