catalog_id,name,slug,catalog_url,website_url,tagline,description,categories,is_featured,is_affiliate,published_at,updated_at
cmiubzphz00g2w1711escglyv,2015 LiDAR Flight Dublin City,2015-lidar-flight-dublin-city,https://geospatialcatalog.com/2015-lidar-flight-dublin-city,https://archive.nyu.edu/jspui/handle/2451/38659,"High-resolution LiDAR and photogrammetry data for Dublin City, Ireland, provided through NYU Libraries.","This record provides aerial laser scanning (ALS) and photogrammetry data from a 2015 flight over Dublin, Ireland. It includes 3D point-cloud (LAZ), 3D full waveform LiDAR (LAS and Pulsewave), and ortho-rectified 2D rasters, covering over 2km² with 1.4 billion laser points.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:30:17.757Z
cmiuc00cs00iew171ul0liatx,2019 LiDAR Data Collection for Sunset Park,2019-lidar-data-collection-for-sunset-park,https://geospatialcatalog.com/2019-lidar-data-collection-for-sunset-park,https://archive.nyu.edu/handle/2451/60458?mode=full,"A comprehensive aerial laser scanning and photogrammetry data collection for urban informatics research in Sunset Park, Brooklyn, NY.","This record serves as a portal to an extensive aerial laser scanning (ALS) and photogrammetry dataset covering approximately 1.0 km² in Sunset Park, Brooklyn, NY. The data was captured in April 2019, providing detailed representations of the urban environment. It includes LiDAR point clouds, full waveform files, and RGBI Nadir imagery for various research and practical applications.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:30:32.838Z
cmiuc38dx00wmw171098k7f9h,3D Elevation Program,3d-elevation-program,https://geospatialcatalog.com/3d-elevation-program,https://www.usgs.gov/3dep,The 3D Elevation Program (3DEP) provides high-quality topographic data and elevation products for the United States.,"The 3D Elevation Program (3DEP) is a U.S. Geological Survey (USGS) initiative to systematically collect enhanced elevation data nationwide. It aims to generate high-resolution topographic data, primarily using lidar technology, to support a wide range of applications. This program provides critical foundational data for mapping, natural resource management, infrastructure planning, and hazard mitigation across the United States.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:33:03.193Z
cmiuc35lp00w0w171yjxs9ucv,3D Printable Civil War Battlefields,3d-printable-civil-war-battlefields,https://geospatialcatalog.com/3d-printable-civil-war-battlefields,https://www.printables.com/@dhersh_3824441/collections/2774847,A collection of 3D printable models depicting Civil War Battlefields for historical and educational purposes.,"This Printables.com collection, curated by dhersh, features a series of 3D printable models focused on significant Civil War battlefields. It offers a unique way to engage with historical geography, providing tangible representations of important sites for study or display.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-07T13:35:26.827Z
cmiuc28nj00p2w1710wdoxepv,3DEP Lidar HAG on Planetary Computer,3dep-lidar-hag-planetary-computer,https://geospatialcatalog.com/3dep-lidar-hag-planetary-computer,https://planetarycomputer.microsoft.com/dataset/3dep-lidar-hag,Provides access to 3D Elevation Program Lidar Height Above Ground data via Microsoft Planetary Computer.,"This dataset offers 3D Elevation Program (3DEP) Lidar Height Above Ground (HAG) data, providing detailed elevation information. Hosted on Microsoft Planetary Computer, it enables users to access and process high-resolution lidar data for various geospatial analyses and environmental studies.",Data,False,False,2025-12-07T15:22:20.871Z,2025-12-07T15:22:21.247Z
cmiuc2riz00tgw171i6884yz9,99boundaries,99boundaries,https://geospatialcatalog.com/99boundaries,https://99boundaries.com/,Provides free OpenStreetMap boundaries in various file formats.,"This website offers free OpenStreetMap (OSM) administrative and land boundaries for various countries worldwide. The boundaries are generated using Overpass and OSM Land Polygons, ensuring up-to-date and community-contributed data. Users can download these datasets in multiple popular GIS file formats.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:32:40.278Z
cmiuc3a2400x9w171a7f5efgy,ACT Open Data Portal,act-open-data-portal,https://geospatialcatalog.com/act-open-data-portal,https://www.data.act.gov.au/,"The official open data portal for the Australian Capital Territory, promoting accessible and shareable government data.","This platform serves as the official open data portal for the Australian Capital Territory (ACT) Government. It provides public access to a wide range of government datasets, supporting transparency, re-usability, and community engagement. Users can find data related to various sectors, including education, transport, safety, and geospatial information.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:33:03.434Z
cmiuc05qo00jvw17146ozy27a,AFG Humanitarian Response MapCentre,afg-humanitarian-response-mapcentre,https://geospatialcatalog.com/afg-humanitarian-response-mapcentre,http://afg.humanitarianresponse.info/mapcentre,Centralized geospatial data and maps for humanitarian operations in Afghanistan.,"The AFG Humanitarian Response MapCentre serves as a vital platform for accessing geospatial information critical to humanitarian efforts in Afghanistan. It compiles and disseminates maps and data to support planning, coordination, and response activities across the region.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:30:37.838Z
cmiubzoo900fww171arx4mpkf,AGIC Geospatial Data Collections,agic-geospatial-data-collections,https://geospatialcatalog.com/agic-geospatial-data-collections,https://agic.az.gov/agic/geospatial-data-collections-and-resources,"A comprehensive directory of Arizona-specific, other state, and national geospatial data collections and resources.","This resource page from the Arizona Geographic Information Council (AGIC) provides links to various geospatial data collections. It serves as a central hub for discovering GIS data, interactive maps, and environmental review tools across Arizona and beyond. The site categorizes resources into Arizona, Other State, and Nationwide sections for easy navigation.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:30:17.658Z
cmiuc3dp700y4w171s09aekke,Alabama Open Data Portal,alabama-open-data-portal,https://geospatialcatalog.com/alabama-open-data-portal,https://data-algeohub.opendata.arcgis.com/,"Alabama's public platform for exploring, downloading, and engaging with open geospatial data.","This portal serves as Alabama's public platform for accessing and utilizing open geospatial data. Users can explore, search, preview, and download various state and national datasets. It also highlights featured applications and encourages building new apps and sharing insights.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:33:08.140Z
cmiuc3dsf00y8w171c54eg2a1,Alaska DNR Open Data,alaska-dnr-open-data,https://geospatialcatalog.com/alaska-dnr-open-data,https://data-soa-dnr.opendata.arcgis.com/,"Your gateway to accessing geospatial land and resource data, applications, maps, and publications.","Alaska DNR Open Data provides a public platform for exploring and downloading geospatial land and resource data. It offers access to applications, maps, and publications produced and maintained by the divisions and offices of the Department of Natural Resources. Users can discover and build apps, and engage to solve important local issues within the community.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:33:08.182Z
cmiuc1v8000n3w171q399nljk,Alberta Geological Survey,alberta-geological-survey,https://geospatialcatalog.com/alberta-geological-survey,https://geology-ags-aer.opendata.arcgis.com/,Alberta Geological Survey Open Data Portal provides free access to geoscience data for the province.,"The Alberta Geological Survey (AGS) Open Data Portal offers a collection of GIS data and interactive maps focused on Alberta's geology. It provides geoscience information across various domains, including surficial mapping, bedrock mapping, resource evaluation, groundwater, and geological hazards. All data is open and freely available under the Open Government License - Alberta.",Data,False,False,2025-12-06T13:29:55.538Z,2025-12-06T13:31:58.598Z
