SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
33433,i271_spec_a1,Amount of spectrum offered for IMT systems in Block < 1GHz,MHz,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Spectrum blocks,Amount of spectrum offered for IMT systems in Block < 1GHz,,280,MHz,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
19303,i992b,Fixed broadband subscriptions per 100 inhabitants,per 100 people,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,2.869273303753859,,"Posts and Telecommunications Department, Ministry of Transport and Communications ; UN Population Division World Population Prospects 2024",2026-07-11
391,i91,Fixed-telephone subscriptions 100 inhabitants,per 100 people,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,1.0202213107856082,,"Posts and Telecommunications Department, Ministry of Transport and Communications ; UN Population Division World Population Prospects 2024",2026-07-11
33434,i271_spec_a1to6,Amount of spectrum offered for IMT systems in   Block 1 GHz - 6 GHz   ,MHz,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Spectrum blocks,Amount of spectrum offered for IMT systems in   Block 1 GHz - 6 GHz   ,,560,MHz,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
33435,i271_spec_aG6,"Amount of spectrum offered for IMT systems in Block > 6 GHz 
",MHz,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Spectrum blocks,Amount of spectrum offered for IMT systems in Block > 6 GHz   ,,0,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
33436,i271_spec_li,"Amount of spectrum licensed for IMT systems, in MHz",MHz,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,464.4,MHz,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
33437,i271_spec_li1,Amount of spectrum licensed for IMT systems in Block < 1GHz,MHz,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Spectrum blocks,Amount of spectrum licensed for IMT systems in Block < 1GHz,,114.4,MHz,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
459,i1336wm,"Roaming by foreign subscribers (inbound roaming), in minutes ",minutes,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,,,,2026-07-10
33438,i271_spec_li1to6,Amount of spectrum licensed for IMT systems in Block 1 GHz - 6 GHz,MHz,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Spectrum blocks,Amount of spectrum licensed for IMT systems in   Block 1 GHz - 6 GHz,,350,MHz,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
414,i965s,Satellite-TV subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,TV,Satellite-TV,,,,,2026-07-10
33439,i271_spec_liG6,Amount of spectrum licensed for IMT systems in Block > 6 GHz,MHz,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Spectrum blocks,Amount of spectrum licensed for IMT systems in   Block > 6 GHz,,0,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
34238,i147ul,"Average upload Throughput for Fixed Broadband, in bits
",bits,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,8000000,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
34246,i1334wma,"Roaming by home subscribers abroad (outbound roaming on CLRAs), in minutes
",minutes,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,,,,2026-07-10
28035,i4213_10to30,"Fixed broadband, 10 Mbit/s to less than 30 Mbit/s subscription",Value,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Speed tier,10 Mbit/s to less than 30 Mbit/s,,825500,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
11626,i4213_256to2,"Fixed broadband, 256 kbit/s to less than 2 Mbit/s subscriptions ",Value,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Speed tier,256 kbit/s to less than 2 Mbit/s,,88906,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
11627,i4213_2to10,"Fixed broadband, 2 Mbit/s to less than 10 Mbit/s subscriptions ",Value,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Speed tier,2 Mbit/s to less than 10 Mbit/s,,383297,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
38975,i992b_10to30_%,"Fixed broadband, 10 Mbit/s to less than 30 Mbit/s subscriptions, % of total",% fixed broadband subscriptions,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Speed tier,10 Mbit/s to less than 30 Mbit/s,,52.452162420614876,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-11
19307,i4213_2x,Subscriptions to fixed-broadband and fixed-telephone bundles.,Value,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,,,,2026-07-10
34235,i992b_G10_%,"Fixed broadband,G10,% of total ",% fixed broadband subscriptions,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Speed tier,Equal to or above 10 Mbit/s,,69.99628291762373,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-11
28036,i4213_30to100,"Fixed broadband, 30 Mbit/s to less than 100 Mbit/s subscriptions",Value,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Speed tier,30 Mbit/s to less than 100 Mbit/s,,219072,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
4254,i132ti,"Total international incoming telephone traffic, in minutes ",minutes,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,133065803,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
34646,i992b_G100,"Fixed broadband, at least 100 Mbit/s subscriptions per 100 inhabitants",per 100 people,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,Speed tier,Equal to or above 100 Mbit/s,,0.10399147882446166,,"Posts and Telecommunications Department, Ministry of Transport and Communications ; UN Population Division World Population Prospects 2024",2026-07-11
19308,i4213_3x,"Subscriptions to fixed-broadband, fixed-telephone and pay-TV bundles.",Value,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,,,,2026-07-10
4253,i132t,"Total international outgoing telephone traffic, in minutes ",minutes,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,390834585,,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-10
16161,i965oth,Other TV subscriptions,Value,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,TV,Other TV subscriptions,,,,,2026-07-10
34055,i135tfb_subs,Fixed broadband Internet traffic per fixed broadband subscriptions (GB),GB per subscription,ITU World Telecommunication Indicators Database,2025,Myanmar,MMR,,,,1181.8415760429275,Usage has picked up from both business and residential use.,"Posts and Telecommunications Department, Ministry of Transport and Communications ",2026-07-11
