series_id,series_code,series_label,family_id,family_label,category,subcategory,collection,indicator_category,indicator_subcategory,disaggregation_label,series_type,answer_type,unit,unit_type,start_year,end_year,database_id,database_name,definition,description,visibility,external,archived,metadata_origin
1,i972,Fixed-telephone subscriptions,15,Fixed-telephone subscriptions,Connectivity,Access,,,,,,Numeric,per employee,alternativeUnits,1960,2025,1,,,Subscriptions per employee,Public/Free,False,False,indicator_details
6,i1111c,Fixed-telephone subscriptions that are residential ,27,Fixed-telephone subscriptions that are residential ,Connectivity,Access,,,,,,Numeric,per 100 households,alternativeUnits,1960,2021,1,,,Residential fixed telephone lines per 100 households,Public/Free,False,False,indicator_details
10,i841f,Annual foreign investment in telecommunications,10,Annual foreign investment in telecommunications,Markets,Investment,,,,,base,Numeric,Local currency,defaultUnits,2002,2025,1,ITU World Telecommunication Indicators Database,"Annual foreign investment in telecommunications refers to investment during the financial year in telecommunication services (including fixed, mobile and Internet services) coming from foreign sources, also referred to as foreign direct investment  (FDI)",Annual foreign investment in telecommunications,Public/Free,False,False,indicator_details
15,i112,Fixed-telephone subscriptions,15,Fixed-telephone subscriptions,Connectivity,Access,,,,,base,Numeric,Value,defaultUnits,1960,2025,1,ITU World Telecommunication Indicators Database,"Refers to the sum of all active analogue fixed-telephone lines, voice-over-IP (VoIP) subscriptions, fixed wireless local loop (WLL) subscriptions, ISDN voice-channel equivalents, fixed public payphones and satellite-based subscriptions provided to fixed locations that allow for a voice communication",Fixed-telephone subscriptions,Public/Free,False,False,indicator_details
27,i116,Fixed-telephone subscriptions that are residential ,27,Fixed-telephone subscriptions that are residential ,Connectivity,Access,,,,,base,Numeric,,defaultUnits,1960,2025,1,ITU World Telecommunication Indicators Database,Refers to the percentage obtained by dividing the number of active fixed-telephone subscriptions serving households,Percentage of fixed-telephone subscriptions that are residential ,Public/Free,False,False,indicator_details
54,i1313wm,Fixed-to-mobile telephone traffic,54,Fixed-to-mobile telephone traffic,Connectivity,Traffic,,,,,base,Numeric,minutes,defaultUnits,1992,2023,1,ITU World Telecommunication Indicators Database,Refers to total traffic from all fixed-telephone networks to all mobile-cellular networks within the country,"Fixed-to-mobile telephone traffic, in minutes ",Public/Free,False,False,indicator_details
56,i131m,Domestic fixed-to-fixed telephone traffic,56,Domestic fixed-to-fixed telephone traffic,Connectivity,Traffic,,,,,base,Numeric,minutes,defaultUnits,1975,2023,1,ITU World Telecommunication Indicators Database,Refers to completed local and domestic long distance fixed-telephone voice traffic,"Domestic fixed-to-fixed telephone traffic, in minutes ",Public/Free,False,False,indicator_details
63,i132m,International outgoing fixed-telephone traffic,63,International outgoing fixed-telephone traffic,Connectivity,Traffic,,,,,base,Numeric,minutes,defaultUnits,1960,2023,1,ITU World Telecommunication Indicators Database,"Refers to effective (completed) fixed telephone voice traffic originating in a given country to destinations outside that country, including traffic to mobile phones outside the country.","International outgoing fixed-telephone traffic, in minutes ",Public/Free,False,False,indicator_details
64,i132mb,International incoming and outgoing fixed-telephone traffic,64,International incoming and outgoing fixed-telephone traffic,Connectivity,Traffic,,,,,base,Numeric,minutes,defaultUnits,1960,2023,1,ITU World Telecommunication Indicators Database,Refers to the sum of international incoming and outgoing fixed-telephone traffic,"International incoming and outgoing fixed-telephone traffic, in minutes ",Public/Free,False,False,indicator_details
65,i132mi,International incoming fixed-telephone traffic,65,International incoming fixed-telephone traffic,Connectivity,Traffic,,,,,base,Numeric,minutes,defaultUnits,1960,2023,1,ITU World Telecommunication Indicators Database,"Refers to effective (completed) fixed-telephone voice traffic originating outside the country with a destination inside the country, irrespective of whether the call was from a fixed or mobile subscriber","International incoming fixed-telephone traffic, in minutes ",Public/Free,False,False,indicator_details
